product,price,year_,month_,day_
NULL,NULL,2022,10,17
cake,500,2022,7,1
cake,450,2021,6,3
cake,900,2022,4,15
NULL,975,2022,11,9
brookie,1400,2022,8,30
cake,NULL,2022,12,30
cake,550,2022,12,26
cake,NULL,2021,9,11
NULL,NULL,2022,11,29
cake,NULL,2022,7,17
cake,1700,2022,3,3
NULL,NULL,2022,10,23
cake,NULL,2022,7,30
NULL,NULL,2022,10,21
cake,500,2022,5,3
fruit_cake,700,2021,12,30
cake,550,2022,6,25
cake,450,2021,6,29
cake,950,2022,7,23
brownie,390,2022,11,19
brownie,240,2022,11,19
brownie,650,2022,12,8
cupcake,720,2022,12,10
cupcake,260,2022,12,17
brownie,840,2022,12,22
cheesecake,511,2022,5,29
brookie,280,2022,7,1
bento,250,2022,7,5
bento,250,2022,8,4
cake,500,2021,5,18
cake,2400,2022,8,21
cake,NULL,2022,5,9
entremet,1000,2021,9,29
cookie,NULL,2021,11,21
bento,250,2022,8,19
cake,NULL,2021,9,6
moulded_ganache_cake,1300,2022,11,26
bento,250,2022,12,12
cake,1000,2022,2,26
cake,500,2022,5,15
brownie,580,2022,8,31
cupcake,1600,2022,5,27
brownie,500,2022,10,30
moulded_ganache_cake,1350,2022,11,3
moulded_ganache_cake,1300,2022,12,4
cake,450,2021,6,9
cake,450,2021,3,23
cake,500,2021,4,21
cake,500,2022,2,9
cake,800,2022,6,20
cake,700,2022,11,20
cake,980,2022,12,22
cake,500,2022,3,5
cake,800,2021,7,6
cake,550,2021,7,10
cake,650,2021,7,10
cake,650,2021,7,23
cake,650,2021,7,26
cake,450,2021,1,1
cake,600,2021,1,1
cake,680,2021,1,5
cake,450,2021,1,6
cake,900,2021,1,9
cake,700,2021,1,12
cake,1000,2021,1,16
cake,500,2021,1,17
cake,500,2021,6,22
cake,400,2021,1,18
cake,450,2021,1,25
cake,650,2021,1,27
cake,400,2021,1,28
cake,650,2021,2,1
cake,450,2021,2,2
cake,500,2021,2,3
cake,450,2021,2,7
cake,600,2022,6,8
cake,500,2022,6,8
cake,500,2022,6,22
cake,500,2022,6,22
cake,550,2022,6,24
cake,450,2022,6,29
cake,550,2022,7,1
cake,750,2022,7,1
cake,750,2021,2,11
cake,500,2021,2,12
cake,500,2021,2,14
cake,750,2021,2,15
cake,400,2021,2,15
cake,600,2022,7,4
cake,450,2022,8,29
cake,500,2022,10,4
cake,800,2022,11,3
cake,NULL,2021,3,2
cake,750,2021,3,2
cake,610,2021,3,5
cake,400,2021,3,5
cake,400,2021,3,5
cake,400,2021,3,6
cake,450,2021,3,8
cake,450,2021,3,8
cake,500,2021,3,9
cake,450,2021,3,10
cake,450,2021,6,12
cake,480,2021,3,11
cake,500,2021,3,13
cake,580,2021,3,13
cake,450,2021,3,13
cake,500,2021,3,14
cake,450,2021,3,14
cake,400,2021,3,30
cake,450,2021,4,8
cake,500,2021,4,9
cake,800,2021,4,11
cake,500,2021,4,12
cake,1100,2021,4,27
cake,480,2021,4,29
cake,950,2021,4,30
cake,750,2021,5,8
cake,400,2021,5,8
cake,450,2021,5,12
cake,500,2021,5,12
cake,400,2021,5,15
cake,450,2021,5,17
cake,400,2021,5,17
cake,800,2021,5,18
cake,780,2021,5,21
cake,600,2021,5,22
cake,450,2021,6,11
cake,600,2021,6,12
cake,500,2021,6,25
cake,600,2021,6,25
cake,750,2021,6,28
cake,450,2021,6,29
cake,450,2021,7,1
cake,550,2021,7,3
cake,550,2021,7,5
cake,500,2021,7,16
cake,550,2021,7,21
cake,550,2021,7,21
cake,650,2021,7,29
cake,400,2021,2,8
cake,700,2021,7,30
cake,800,2021,7,30
cake,500,2021,8,1
cake,550,2021,8,3
cake,550,2021,8,3
cake,800,2021,8,8
cake,550,2021,8,31
cake,500,2021,9,2
cake,950,2021,10,3
cake,650,2021,8,24
cake,550,2021,8,5
cake,650,2021,8,8
cake,550,2022,3,6
cake,550,2021,8,8
cake,800,2021,8,9
cake,550,2021,8,28
cake,800,2021,9,6
cake,500,2021,9,7
cake,600,2021,9,9
cake,800,2021,9,9
cake,600,2021,9,18
cake,800,2021,9,19
cake,650,2021,9,22
cake,600,2021,9,23
cake,700,2021,9,24
cake,600,2021,9,28
cake,500,2021,9,28
cake,500,2021,10,9
cake,900,2021,10,11
cake,590,2021,10,12
cake,450,2021,10,14
misc_&_combo,660,2021,10,14
cake,420,2021,10,15
cake,850,2021,10,17
cake,650,2021,10,20
cake,700,2021,10,20
cake,780,2021,10,22
cake,650,2021,10,25
cake,850,2021,10,26
cake,650,2021,10,27
cake,650,2021,10,28
cake,700,2021,11,6
cake,550,2021,11,15
cake,900,2021,11,16
cake,750,2021,11,17
cake,900,2021,11,18
cake,750,2021,11,20
cake,1000,2021,11,20
cake,750,2021,11,22
cake,NULL,2021,12,3
cake,550,2021,12,4
cake,650,2021,12,7
cake,420,2021,12,9
cake,400,2021,12,12
cake,750,2021,12,12
cake,550,2021,12,13
cake,900,2021,12,14
cake,450,2021,5,9
cake,950,2021,12,15
cake,500,2021,12,20
cake,550,2021,12,24
cake,NULL,2021,12,25
fruit_cake,400,2021,12,29
cake,650,2021,12,31
cake,450,2021,12,31
cake,650,2022,1,3
cake,500,2022,1,6
cake,500,2022,1,7
cake,500,2022,1,7
cake,800,2022,1,7
cake,1500,2021,1,3
cake,650,2022,1,11
cake,700,2022,11,11
cake,450,2022,12,31
NULL,550,2022,1,17
cake,550,2022,1,18
cake,650,2022,1,18
cake,550,2022,1,22
cake,500,2022,1,22
cake,450,2022,2,10
cake,650,2022,2,10
cake,650,2022,2,13
cake,650,2022,2,13
cake,850,2022,2,14
cake,850,2022,2,15
misc_&_combo,650,2022,2,15
cake,450,2022,2,15
cake,750,2022,2,22
cake,500,2022,2,23
cake,450,2022,2,23
cake,1050,2022,2,26
cake,750,2022,4,15
cake,1200,2022,4,17
cake,550,2022,4,17
cake,700,2022,4,21
cake,550,2022,4,22
cake,NULL,2022,5,2
cake,680,2022,5,2
cake,500,2022,5,3
cake,550,2022,5,13
cake,500,2022,5,15
cake,650,2022,5,17
cake,550,2022,5,25
cake,850,2022,5,26
cake,750,2022,5,30
cake,650,2022,6,4
cake,450,2022,6,7
cake,700,2022,6,8
cake,650,2022,6,9
cake,NULL,2022,6,10
cake,650,2022,6,10
cake,550,2022,6,11
cake,850,2022,6,12
cake,280,2022,6,15
cake,1500,2022,6,19
cake,450,2022,6,19
moulded_ganache_cake,1300,2022,6,20
cake,550,2022,6,25
cake,550,2022,6,25
cake,1200,2022,2,25
cake,550,2022,9,3
cake,500,2022,7,4
cake,400,2022,7,6
cake,500,2022,7,7
cake,700,2022,7,8
cake,960,2022,7,8
cake,NULL,2022,7,13
cake,550,2022,7,18
cake,750,2022,7,25
cake,750,2022,7,26
cake,750,2022,7,26
cake,800,2022,8,10
cake,800,2022,8,11
cake,NULL,2022,8,14
cake,700,2022,8,17
cake,500,2022,8,19
cake,850,2022,8,21
cake,750,2022,8,23
cake,550,2022,8,24
cake,800,2022,8,30
cake,1080,2022,8,31
cake,500,2022,9,6
cake,750,2022,9,18
cake,650,2022,9,19
cake,600,2022,9,23
cake,500,2022,9,24
cake,550,2022,10,4
cake,750,2022,10,13
cake,650,2022,10,15
cake,750,2022,10,18
cake,550,2022,10,21
cake,500,2022,10,29
cake,550,2022,10,30
cake,500,2022,11,5
cake,800,2022,11,14
cake,800,2022,11,14
cake,500,2022,11,16
cake,500,2022,11,27
cake,550,2022,11,30
cake,860,2022,12,4
cake,800,2022,12,12
cake,550,2022,12,12
cake,700,2022,12,12
cake,500,2022,12,21
cake,550,2022,12,24
cake,550,2022,12,24
cake,650,2022,4,24
cake,850,2021,10,22
cake,800,2021,11,24
cake,700,2022,11,27
cake,500,2022,8,9
cake,700,2021,1,30
cake,400,2021,1,30
cake,500,2022,3,23
cake,750,2022,3,24
cake,650,2022,3,26
cake,700,2022,3,28
cake,650,2022,3,30
cake,450,2022,10,7
cake,440,2021,7,15
cake,450,2021,1,26
cake,480,2021,2,2
cake,680,2021,2,3
NULL,500,2022,12,31
cake,550,2021,7,9
cake,500,2021,4,24
cake,500,2021,4,24
cake,400,2021,1,9
cake,680,2021,1,20
cake,400,2021,1,23
cake,450,2021,1,1
cake,550,2022,2,28
cake,500,2022,12,11
cake,550,2022,4,4
cake,1600,2022,4,4
cake,500,2022,4,5
cake,550,2022,4,5
cake,650,2022,4,13
cake,600,2022,3,5
cake,500,2022,3,5
cake,850,2021,5,23
cake,450,2021,5,27
cake,400,2021,5,27
cake,450,2021,2,12
cake,450,2021,2,25
cake,500,2021,2,26
cake,450,2021,2,26
cake,580,2022,1,25
cake,500,2021,11,13
cake,550,2022,1,28
cake,700,2022,2,1
cake,600,2022,5,25
cake,1250,2022,2,1
cake,550,2022,2,2
cake,600,2022,2,3
cake,500,2022,2,4
cake,650,2022,2,5
cake,600,2022,2,5
cake,500,2022,2,6
cake,550,2022,12,27
fruit_cake,700,2022,12,31
NULL,500,2022,12,31
NULL,550,2022,12,31
cake,550,2022,12,31
cake,500,2021,6,2
cake,780,2021,6,6
cake,530,2022,3,28
cake,450,2021,6,8
cake,440,2021,5,27
cake,500,2022,3,12
cake,1200,2022,4,12
cake,600,2022,3,16
cake,500,2021,4,15
cake,500,2022,10,29
cake,1500,2022,3,7
cake,1400,2022,6,12
cake,1500,2022,8,19
cake,2000,2022,11,5
cake,2300,2022,11,20
cake,1400,2022,12,26
cake,1200,2021,5,12
cake,1200,2021,1,11
cake,1450,2021,2,25
cake,1500,2021,2,27
cake,1700,2021,2,28
cake,1700,2021,3,3
cake,1300,2021,4,9
cake,1000,2021,1,12
cake,1300,2021,5,6
cake,1900,2021,6,26
cake,1400,2021,7,19
cake,2500,2021,7,22
cake,1850,2021,7,24
cake,1500,2021,7,26
cake,1800,2021,10,6
cake,1200,2021,5,27
cake,1400,2021,8,1
cake,1000,2021,8,8
cake,2400,2021,9,3
cake,1850,2021,9,16
cake,1900,2021,9,20
cake,2200,2021,9,24
cake,1400,2021,10,16
cake,1500,2021,10,19
cake,1400,2021,10,26
cake,850,2022,2,9
cake,1800,2021,10,30
cake,2000,2021,11,2
cake,2400,2021,11,6
cake,2600,2021,11,7
cake,1800,2021,11,17
cake,1950,2021,11,20
cake,2200,2021,11,26
cake,2200,2021,12,15
cake,1500,2021,12,21
cake,2200,2021,12,24
cake,2300,2021,12,29
cake,2200,2021,12,31
cake,1450,2022,1,13
cake,1500,2022,1,14
cake,2700,2022,1,16
cake,1400,2022,2,8
cake,NULL,2022,2,8
cake,1400,2022,2,12
cake,900,2022,11,20
cake,1800,2022,2,13
cake,800,2022,11,26
cake,500,2021,4,19
cake,1500,2021,11,14
cake,2300,2022,2,18
cake,2200,2022,2,20
cake,2400,2022,2,23
cake,1700,2022,4,20
cake,1800,2022,5,1
cake,1800,2022,5,29
cake,1700,2022,6,13
cake,2200,2022,7,23
cake,2500,2022,7,26
cake,2100,2022,8,16
cake,2800,2022,8,20
cake,1400,2022,9,12
cake,1780,2022,9,16
cake,1200,2022,9,30
cake,2200,2022,10,1
cake,1200,2022,10,14
cake,2200,2022,10,15
cake,1600,2022,10,24
cake,1700,2022,11,25
cake,1900,2022,12,8
cake,2000,2022,12,18
cake,1750,2022,4,25
cake,1200,2021,1,1
cake,1500,2021,2,3
cake,1500,2022,2,26
cake,1450,2022,4,7
cake,2400,2022,3,5
cake,2100,2021,2,20
cake,2700,2022,2,1
cake,1900,2022,3,13
cake,2000,2021,2,6
cake,1200,2021,5,16
cake,900,2021,5,20
cake,850,2021,5,22
cake,900,2021,5,23
misc_&_combo,NULL,2021,6,9
cake,850,2021,6,11
cake,1650,2021,7,4
cake,900,2021,7,11
cake,820,2021,7,11
cake,950,2021,7,13
cake,1300,2021,7,15
cake,820,2021,7,25
cake,750,2021,1,2
cake,950,2021,1,8
cake,450,2022,12,4
cake,800,2021,1,8
cake,850,2021,1,18
cake,700,2022,12,13
cake,650,2022,3,18
cake,1500,2021,1,20
cake,850,2021,2,2
cake,850,2021,2,2
cake,1400,2021,2,5
cake,950,2021,2,5
cake,1500,2021,2,6
cake,900,2021,2,11
cake,900,2021,2,11
cake,850,2021,2,13
cake,1100,2021,2,14
cake,1300,2021,2,16
cake,1400,2021,2,21
cake,1300,2021,2,21
cake,1100,2021,2,28
cake,800,2021,3,3
cake,750,2021,3,4
cake,1300,2021,3,5
cake,1200,2021,3,6
cake,950,2021,3,10
cake,800,2021,3,10
cake,1400,2021,3,11
cake,1600,2021,3,11
cake,850,2021,3,21
brownie,NULL,2022,11,10
cake,1400,2021,4,7
cake,900,2021,4,28
cake,1250,2021,5,6
cake,750,2021,5,9
entremet,NULL,2021,5,15
cake,1400,2021,5,17
cake,1700,2021,5,18
cake,850,2021,5,18
cake,1200,2021,5,20
cake,980,2021,5,22
cake,1600,2021,5,23
cake,950,2021,6,11
cake,850,2021,6,12
cake,1200,2021,6,12
cake,1600,2021,6,26
cake,900,2021,6,29
cake,1000,2021,7,2
cake,950,2021,7,3
cake,800,2021,7,16
cake,900,2021,7,17
cake,950,2021,7,20
cake,1200,2021,7,25
cake,1600,2021,7,27
cake,1500,2021,7,29
cake,900,2021,8,1
cake,1300,2021,8,5
cake,850,2021,8,15
cake,1050,2021,8,16
cake,900,2021,8,20
cake,1200,2021,8,23
cake,1200,2021,8,28
cake,1300,2021,8,29
cake,1200,2021,8,29
cake,1500,2021,8,31
cake,1100,2021,9,1
cake,1550,2021,9,14
cake,1700,2021,8,17
cake,1200,2021,8,17
cake,1440,2021,8,18
cake,950,2021,8,19
cake,950,2021,8,20
cake,1300,2021,8,21
cake,1000,2021,8,21
cake,1200,2021,9,4
cake,1200,2021,9,5
cake,1000,2021,9,5
cake,950,2021,9,6
cake,1350,2021,9,8
cake,900,2021,9,13
cake,1500,2021,9,15
cake,1400,2021,9,17
cake,950,2021,9,20
cake,950,2021,9,27
cake,1400,2021,10,1
cake,1400,2021,10,7
cake,1300,2021,10,8
cake,1200,2021,10,11
cake,1700,2021,10,12
cake,1300,2021,10,15
entremet,500,2021,10,16
cake,1300,2021,10,17
cake,1000,2021,10,20
cake,1500,2021,10,22
cake,1150,2021,10,23
cake,1600,2021,10,24
cake,1300,2021,10,24
cake,950,2021,10,26
cake,1500,2021,10,28
cake,1400,2021,10,29
cake,1308,2021,10,30
cake,1600,2021,10,30
cake,1300,2021,10,31
cake,1500,2021,11,1
cake,1300,2022,4,18
cake,1500,2022,8,7
cake,1500,2021,11,3
entremet,1500,2021,11,4
cake,1700,2021,11,6
cake,1100,2021,2,15
cake,2000,2021,11,9
cake,1500,2021,11,9
cake,1790,2021,11,13
cake,1400,2021,11,18
cake,1400,2021,11,23
cake,1550,2021,11,23
cake,1750,2021,11,25
cake,1300,2021,11,27
cake,1500,2021,11,27
cake,1650,2021,11,28
cake,1300,2021,11,29
cake,1200,2021,11,30
cake,1400,2021,12,1
cake,1800,2021,12,6
cake,1500,2021,12,7
cake,1900,2021,12,11
cake,1500,2021,12,12
cake,1150,2021,12,12
cake,1300,2021,12,13
cake,1000,2021,12,14
cake,1500,2021,12,14
cake,900,2021,12,19
cake,1600,2021,12,22
cake,900,2022,8,5
cake,1200,2021,12,28
cake,950,2021,12,31
cake,1500,2022,1,1
cake,1400,2022,1,7
cake,1800,2022,1,10
misc_&_combo,NULL,2021,2,8
cake,1000,2022,1,11
cake,1200,2022,1,11
cake,1800,2022,1,12
cake,1100,2022,1,16
cake,1200,2021,9,2
cake,1500,2022,1,19
cake,1050,2022,1,22
cake,950,2022,1,24
cake,1600,2022,2,8
cake,950,2022,2,10
cake,1500,2022,2,10
cake,1300,2022,2,12
cake,1000,2022,2,12
cake,950,2022,2,12
cake,1600,2022,2,13
cake,900,2021,9,24
cake,2200,2022,2,14
cake,1600,2022,2,16
cake,1300,2022,2,16
cake,950,2022,2,22
cake,1500,2022,2,23
cake,1500,2022,2,25
cake,1000,2022,4,14
cake,1400,2022,4,19
cake,1200,2022,4,22
cake,1100,2022,5,2
cake,NULL,2022,5,9
cake,1300,2022,5,9
cake,1200,2022,5,11
cake,1900,2022,5,12
cake,1900,2022,5,15
cake,1850,2022,5,18
cake,1350,2022,5,18
cake,1400,2022,5,22
cake,2000,2022,5,23
cake,1200,2022,5,27
cake,1900,2022,5,30
cake,950,2022,6,1
cake,1300,2022,6,4
cake,1300,2022,6,5
cookie,500,2022,6,7
cake,1000,2022,6,7
cake,1500,2022,6,8
cake,1000,2022,6,11
cake,500,2021,5,26
cake,1200,2022,6,11
cake,1500,2022,6,15
cake,1000,2022,6,16
cake,1400,2022,6,16
cake,1300,2022,6,25
cake,1400,2022,6,27
cake,1450,2022,6,27
cake,950,2022,6,27
cake,1500,2022,6,29
cake,1600,2022,6,30
cake,1100,2022,7,3
cake,1050,2022,7,4
cake,1500,2022,7,6
cake,1450,2022,7,8
cake,NULL,2022,7,14
cake,1030,2022,7,18
cake,1300,2022,7,25
cake,700,2022,10,20
cake,2000,2022,8,3
cake,1300,2022,7,29
cake,1500,2022,8,17
cake,1000,2022,8,18
cake,1200,2022,8,28
cake,1600,2022,8,31
cake,1400,2022,8,31
cake,1500,2022,9,5
cake,1200,2022,9,5
cake,1200,2022,9,9
cake,1100,2022,9,10
cake,1500,2022,9,12
cake,1200,2022,9,15
cake,1600,2022,10,1
cake,1400,2022,6,12
cake,400,2021,5,31
cake,650,2021,6,2
cake,900,2022,10,1
cake,1400,2022,9,16
cake,900,2022,10,7
cake,900,2022,10,14
cake,1600,2022,10,17
cake,950,2022,10,18
cake,1000,2022,10,19
cake,1200,2022,10,23
cake,1500,2022,10,24
cake,1400,2022,10,25
cake,950,2022,11,1
cake,1500,2022,11,4
cake,1500,2022,11,7
cake,850,2022,11,8
